1.51758313941978E+018,5.0575,6.23,0.28
1.51758313942517E+018,5.0575,6.23,0.28
1.51758313942518E+018,5.0575,6.23,0.28
1.51758313942529E+018,5.0575,6.23,0.28
1.51758313942529E+018,5.0575,6.23,0.28
1.5175831394253E+018,5.0575,6.23,0.28
1.51758313942533E+018,5.1975,6.3175,0.0525
1.51758313942533E+018,5.1975,6.3175,0.0525
1.5175831394254E+018,5.1975,6.3175,0.0525
1.51758313942836E+018,5.1975,6.3175,0.0525
1.51758313942836E+018,5.1975,6.3175,0.0525
1.51758313942837E+018,5.1975,6.3175,0.0525
1.51758313942845E+018,5.1975,6.3175,0.0525
1.51758313942846E+018,5.1975,6.3175,0.0525
1.51758313943105E+018,5.4775,6.265,-0.5075
1.51758313943107E+018,5.4775,6.265,-0.5075
1.51758313943107E+018,5.4775,6.265,-0.5075
1.51758313943376E+018,5.4775,6.265,-0.5075
1.51758313943379E+018,5.4775,6.265,-0.5075
1.5175831394376E+018,5.4775,6.265,-0.5075
1.51758313944072E+018,5.4775,6.265,-0.5075
1.51758313944528E+018,5.4775,6.1425,-0.595
1.51758313944529E+018,5.4775,6.1425,-0.595
1.5175831394453E+018,5.4775,6.1425,-0.595
1.51758313944532E+018,5.4775,6.1425,-0.595
1.51758313944811E+018,5.4775,6.1425,-0.595
1.51758313945203E+018,5.4775,6.1425,-0.595
1.51758313945386E+018,5.5125,5.8975,-0.525
1.51758313945889E+018,5.5125,5.8975,-0.525
1.51758313946266E+018,5.5125,5.8975,-0.525
1.51758313946267E+018,5.5125,5.8975,-0.525
1.51758313946268E+018,5.5125,5.8975,-0.525
1.51758313946268E+018,6.0725,5.88,-1.0325
1.5175831394627E+018,6.0725,5.88,-1.0325
1.51758313946568E+018,6.0725,5.88,-1.0325
1.51758313946569E+018,6.0725,5.88,-1.0325
1.51758313946931E+018,6.0725,5.88,-1.0325
1.51758313947852E+018,6.0725,5.88,-1.0325
1.51758313948301E+018,6.0725,5.88,-1.0325
1.51758313948302E+018,5.74,6.02,-0.6125
1.51758313948304E+018,5.74,6.02,-0.6125
1.51758313948305E+018,5.74,6.02,-0.6125
